Super_Order	Order	Family	Species	Body-size	Reproduction	Habitat	Sources Body-size	Sources reproduction	Sources Habitat
Squalomorphii	Squaliformes	Etmopteridae	Aculeola nigra	67	YV	D	Ebert 2016 & Ebert & Dando & Fowler 2021	Ebert 2016	Acuña & Villarroel 2010
Galeomorphii	Carcharhiniformes	Atelomycteridae	Akheilos suwartanai	54	NA	NA	White & Fahmi & Weigmann 2019	NA	NA
Galeomorphii	Lamniformes	Alopiidae	Alopias pelagicus	428	Oo	O	Ebert & Dando & Fowler 2021	Otake & Mizue 1981, Ebert & Dando & Fowler 2021	Smith et al. 2008
Galeomorphii	Lamniformes	Alopiidae	Alopias superciliosus	484	Oo	O	Ebert & Dando & Fowler 2021	Chen et al. 1997	Smith et al. 2008 & Ceccarelli et al. 2014
Galeomorphii	Lamniformes	Alopiidae	Alopias vulpinus	573	Oo	O	Ebert & Dando & Fowler 2021	Moreno & Parajua & Moron 1989	Smith et al. 2008
Galeomorphii	Carcharhiniformes	Pentanchidae	Apristurus albisoma	60	NA	D	Nakaya & Séret 1999	NA	Nakaya & Séret 1999
Galeomorphii	Carcharhiniformes	Pentanchidae	Apristurus ampliceps	86	O	D	Sasahara & Sato & Nakaya 2008	Dutilloy 2018	Sasahara & Sato & Nakaya 2008
Galeomorphii	Carcharhiniformes	Pentanchidae	Apristurus aphyodes	60	O	D	Nakaya & Stehman 1998	Iglésias et al. 2002	Nakaya & Stehman 1998
Galeomorphii	Carcharhiniformes	Pentanchidae	Apristurus australis	62	O	D	Sato & Nakaya & Yorozu, 2008	Sato & Nakaya & Yorozu, 2008	Sato & Nakaya & Yorozu, 2008 & Ceccarelli et al. 2014
Galeomorphii	Carcharhiniformes	Pentanchidae	Apristurus breviventralis	49	NA	D	Kawauchi et al. 2014	NA	Kawauchi et al. 2014
Galeomorphii	Carcharhiniformes	Pentanchidae	Apristurus brunneus	69	O	D	Ebert & Dando & Fowler 2021	Flammang et al. 2007	Cross 1998 & Ebert & Dando & Fowler 2021
Galeomorphii	Carcharhiniformes	Pentanchidae	Apristurus bucephalus	68	NA	D	White & Last & Pogonoski 2008	NA	White & Last & Pogonoski 2008
Galeomorphii	Carcharhiniformes	Pentanchidae	Apristurus canutus	46	NA	D	Springer 1979	NA	Springer 1979
Galeomorphii	Carcharhiniformes	Pentanchidae	Apristurus exsanguis	91	O	D	Sato et al. 1999	Sato et al. 1999	Sato et al. 1999
Galeomorphii	Carcharhiniformes	Pentanchidae	Apristurus fedorovi	68	NA	D	Nakaya & Sato 1997	NA	Ebert & Dando & Fowler 2021
Galeomorphii	Carcharhiniformes	Pentanchidae	Apristurus garricki	74	O	D	Sato & Stewart & Nakaya 2013	Sato & Stewart & Nakaya 2013	Sato & Stewart & Nakaya 2013
Galeomorphii	Carcharhiniformes	Pentanchidae	Apristurus gibbosus	49	O	D	Nakaya & Kawauchi 2013	Nakaya & Kawauchi 2013	Ebert & Dando & Fowler 2021
Galeomorphii	Carcharhiniformes	Pentanchidae	Apristurus herklotsi	52	O	D	Nakaya & Kawauchi 2013	Nakaya & Kawauchi 2013	Nakaya & Kawauchi 2013
Galeomorphii	Carcharhiniformes	Pentanchidae	Apristurus indicus	34	NA	D	Compagno 1984	NA	Compagno 1984
Galeomorphii	Carcharhiniformes	Pentanchidae	Apristurus investigatoris	26	NA	D	Compagno 1984	NA	Compagno 1984
Galeomorphii	Carcharhiniformes	Pentanchidae	Apristurus japonicus	71	NA	D	Nakaya 1975	Nakaya 1975	Nakaya 1975
Galeomorphii	Carcharhiniformes	Pentanchidae	Apristurus kampae	65	O	D	Ebert & Dando & Fowler 2021	Flammang et al. 2007	Ebert & Dando & Fowler 2021
Galeomorphii	Carcharhiniformes	Pentanchidae	Apristurus laurussonii	72	O	D	Nakaya & Sato 1998	Nakaya & Sato 1998	Kiraly et al. 2003
Galeomorphii	Carcharhiniformes	Pentanchidae	Apristurus longicephalus	60	O	D	Nakaya & Kawauchi 2013	Flammang et al. 2007	Nakaya & Kawauchi 2013 & Ceccarelli et al. 2014
Galeomorphii	Carcharhiniformes	Pentanchidae	Apristurus macrorhynchus	66	O	D	Compagno 1984	Nakaya 1975	Ebert & Dando & Fowler 2021
Galeomorphii	Carcharhiniformes	Pentanchidae	Apristurus macrostomus	57	O	D	Nakaya & Kawauchi 2013	Nakaya & Kawauchi 2013	Nakaya & Kawauchi 2013
