Species	traits
Aculeola_nigra	2
Alopias_pelagicus	2
Alopias_superciliosus	2
Alopias_vulpinus	2
Apristurus_albisoma	0
Apristurus_ampliceps	2
Apristurus_aphyodes	2
Apristurus_australis	2
Apristurus_brunneus	2
Apristurus_exsanguis	2
Apristurus_fedorovi	2
Apristurus_garricki	2
Apristurus_herklotsi	2
Apristurus_japonicus	2
Apristurus_kampae	2
Apristurus_laurussonii	2
Apristurus_longicephalus	2
Apristurus_macrorhynchus	2
Apristurus_manis	2
Apristurus_melanoasper	2
Apristurus_microps	2
Apristurus_nakayai	2
Apristurus_nasutus	0
Apristurus_ovicorrugatus	NA
Apristurus_pinguis	2
Apristurus_platyrhynchus	2
Apristurus_profundorum	2
Apristurus_saldanha	2
Apristurus_sinensis	2
Apristurus_yangi	NA
Asymbolus_analis	2
Asymbolus_parvus	2
Asymbolus_rubiginosus	2
Atelomycterus_baliensis	2
Atelomycterus_erdmanni	2
Atelomycterus_fasciatus	2
Atelomycterus_marmoratus	2
Atelomycterus_marnkalha	2
Aulohalaelurus_labiosus	2
Brachaelurus_colcloughi	1
Brachaelurus_waddi	2
Bythaelurus_bachi	NA
Bythaelurus_canescens	2
Bythaelurus_dawsoni	2
Bythaelurus_hispidus	2
Bythaelurus_lutarius	2
Bythaelurus_naylori	NA
Carcharhinus_acronotus	2
Carcharhinus_albimarginatus	2
Carcharhinus_amblyrhynchoides	2
Carcharhinus_amblyrhynchos	2
Carcharhinus_amboinensis	2
Carcharhinus_borneensis	1
Carcharhinus_brachyurus	2
Carcharhinus_brevipinna	2
Carcharhinus_cautus	2
Carcharhinus_dussumieri	2
Carcharhinus_falciformis	2
Carcharhinus_fitzroyensis	2
Carcharhinus_humani	2
Carcharhinus_isodon	2
Carcharhinus_leiodon	1
Carcharhinus_leucas	1
Carcharhinus_limbatus	2
Carcharhinus_longimanus	1
Carcharhinus_macloti	2
Carcharhinus_melanopterus	2
Carcharhinus_obscurus	2
Carcharhinus_perezi	1
Carcharhinus_plumbeus	2
Carcharhinus_porosus	2
Carcharhinus_sealei	2
Carcharhinus_signatus	2
Carcharhinus_sorrah	2
Carcharhinus_tilstoni	2
Carcharhinus_tjutjot	2
Carcharias_taurus	2
Carcharodon_carcharias	1
Centrophorus_atromarginatus	2
Centrophorus_granulosus	2
Centrophorus_harrissoni	2
Centrophorus_isodon	2
Centrophorus_lesliei	NA
Centrophorus_longipinnis	NA
Centrophorus_lusitanicus	2
Centrophorus_squamosus	2
Centrophorus_tessellatus	2
Centrophorus_uyato	2
Centrophorus_westraliensis	2
Centrophorus_zeehaani	2
Centroscyllium_fabricii	2
Centroscyllium_granulatum	2
Centroscyllium_nigrum	2
Centroscyllium_ritteri	2
Centroscymnus_coelolepis	1
Centroscymnus_owstonii	2
Centroselachus_crepidater	2
Cephaloscyllium_albipinnum	2
Cephaloscyllium_fasciatum	2
Cephaloscyllium_hiscosellum	2
Cephaloscyllium_laticeps	2
Cephaloscyllium_pictum	2
Cephaloscyllium_silasi	0
Cephaloscyllium_speccum	2
Cephaloscyllium_sufflans	2
Cephaloscyllium_umbratile	2
Cephaloscyllium_variegatum	2
Cephaloscyllium_ventriosum	2
Cephalurus_cephalus	2
Cetorhinus_maximus	0
Chaenogaleus_macrostoma	2
Chiloscyllium_arabicum	2
Chiloscyllium_burmensis	1
Chiloscyllium_griseum	0
Chiloscyllium_hasseltii	0
Chiloscyllium_indicum	2
Chiloscyllium_plagiosum	2
Chiloscyllium_punctatum	2
Chlamydoselachus_anguineus	2
Cirrhigaleus_asper	2
Cirrhigaleus_australis	2
Cirrhigaleus_barbifer	2
Cirrhoscyllium_formosanum	2
Ctenacis_fehlmanni	0
Dalatias_licha	2
Deania_calcea	2
Deania_hystricosa	2
Deania_profundorum	2
Deania_quadrispinosa	1
Echinorhinus_brucus	2
Echinorhinus_cookei	2
Eridacnis_radcliffei	2
Etmopterus_alphus	NA
Etmopterus_bigelowi	2
Etmopterus_brachyurus	2
Etmopterus_brosei	NA
Etmopterus_bullisi	0
Etmopterus_carteri	2
Etmopterus_compagnoi	2
Etmopterus_dianthus	2
Etmopterus_dislineatus	2
Etmopterus_evansi	2
Etmopterus_fusus	2
Etmopterus_gracilispinis	2
Etmopterus_granulosus	2
Etmopterus_litvinovi	2
Etmopterus_lucifer	2
Etmopterus_molleri	2
Etmopterus_polli	2
Etmopterus_princeps	2
Etmopterus_pseudosqualiolus	2
Etmopterus_pusillus	2
Etmopterus_pycnolepis	2
Etmopterus_samadiae	NA
Etmopterus_schultzi	2
Etmopterus_sentosus	2
Etmopterus_sheikoi	2
Etmopterus_spinax	2
Etmopterus_splendidus	2
Etmopterus_unicolor	2
Etmopterus_viator	2
Etmopterus_virens	0
Eucrossorhinus_dasypogon	2
Euprotomicrus_bispinatus	2
Eusphyra_blochii	2
Figaro_boardmani	2
Furgaleus_macki	2
Galeocerdo_cuvier	1
Galeorhinus_galeus	2
Galeus_arae	0
Galeus_atlanticus	2
Galeus_eastmani	2
Galeus_longirostris	2
Galeus_melastomus	2
Galeus_murinus	2
Galeus_nipponensis	2
Galeus_polli	2
Galeus_priapus	2
Galeus_sauteri	2
Ginglymostoma_cirratum	2
Ginglymostoma_unami	NA
Glyphis_gangeticus	1
Glyphis_garricki	1
Glyphis_glyphis	2
Gollum_attenuatus	2
Halaelurus_buergeri	2
Halaelurus_lineatus	2
Halaelurus_natalensis	2
Halaelurus_quagga	0
Halaelurus_sellus	2
Haploblepharus_edwardsii	2
Haploblepharus_kistnasamyi	2
Hemigaleus_australiensis	2
Hemigaleus_microstoma	0
Hemipristis_elongata	2
Hemiscyllium_galei	0
Hemiscyllium_hallstromi	0
Hemiscyllium_halmahera	2
Hemiscyllium_henryi	2
Hemiscyllium_michaeli	0
Hemiscyllium_ocellatum	2
Hemiscyllium_strahani	0
Hemiscyllium_trispeculare	0
Hemitriakis_complicofasciata	2
Hemitriakis_falcata	0
Hemitriakis_japanica	2
Hemitriakis_leucoperiptera	2
Heptranchias_perlo	2
Heterodontus_francisci	2
Heterodontus_galeatus	2
Heterodontus_marshallae	NA
Heterodontus_mexicanus	2
Heterodontus_portusjacksoni	2
Heterodontus_quoyi	0
Heterodontus_zebra	2
Hexanchus_griseus	1
Hexanchus_nakamurai	2
Hexanchus_vitulus	NA
Holohalaelurus_punctatus	2
Holohalaelurus_regani	2
Hypogaleus_hyugaensis	0
Iago_garricki	0
Iago_omanensis	2
Isistius_brasiliensis	1
Isogomphodon_oxyrhynchus	1
