Superorder	Species	Diet
Selachii	Aculeola nigra	Mesopredator
Selachii	Alopias pelagicus	Mesopredator
Selachii	Alopias superciliosus	Mesopredator
Selachii	Alopias vulpinus	Mesopredator
Selachii	Apristurus albisoma	Invertebrate-feeders
Selachii	Apristurus ampliceps	Mesopredator
Selachii	Apristurus aphyodes	Mesopredator
Selachii	Apristurus australis	Mesopredator
Selachii	Apristurus breviventralis	Mesopredator
Selachii	Apristurus brunneus	Mesopredator
Selachii	Apristurus bucephalus	Mesopredator
Selachii	Apristurus canutus	Mesopredator
Selachii	Apristurus exsanguis	Mesopredator
Selachii	Apristurus fedorovi	Mesopredator
Selachii	Apristurus garricki	Mesopredator
Selachii	Apristurus gibbosus	Mesopredator
Selachii	Apristurus herklotsi	Mesopredator
Selachii	Apristurus indicus	Mesopredator
Selachii	Apristurus investigatoris	Mesopredator
Selachii	Apristurus japonicus	Mesopredator
Selachii	Apristurus kampae	Mesopredator
Selachii	Apristurus laurussonii	Mesopredator
Selachii	Apristurus longicephalus	Mesopredator
Selachii	Apristurus macrorhynchus	Mesopredator
Selachii	Apristurus macrostomus	Mesopredator
Selachii	Apristurus manis	Mesopredator
Selachii	Apristurus melanoasper	Mesopredator
Selachii	Apristurus microps	Mesopredator
Selachii	Apristurus micropterygeus	Mesopredator
Selachii	Apristurus nakayai	Mesopredator
Selachii	Apristurus nasutus	Invertebrate-feeders
Selachii	Apristurus parvipinnis	Mesopredator
Selachii	Apristurus pinguis	Mesopredator
Selachii	Apristurus platyrhynchus	Mesopredator
Selachii	Apristurus profundorum	Mesopredator
Selachii	Apristurus riveri	Mesopredator
Selachii	Apristurus saldanha	Mesopredator
Selachii	Apristurus sibogae	Mesopredator
Selachii	Apristurus sinensis	Mesopredator
Selachii	Apristurus spongiceps	Mesopredator
Selachii	Apristurus stenseni	Mesopredator
Selachii	Asymbolus analis	Mesopredator
Selachii	Asymbolus funebris	Mesopredator
Selachii	Asymbolus galacticus	Mesopredator
Selachii	Asymbolus occiduus	Mesopredator
Selachii	Asymbolus pallidus	Mesopredator
Selachii	Asymbolus parvus	Mesopredator
Selachii	Asymbolus rubiginosus	Mesopredator
Selachii	Asymbolus submaculatus	Mesopredator
Selachii	Asymbolus vincenti	Mesopredator
Selachii	Atelomycterus baliensis	Mesopredator
Selachii	Atelomycterus erdmanni	Mesopredator
Selachii	Atelomycterus fasciatus	Mesopredator
Selachii	Atelomycterus macleayi	Mesopredator
Selachii	Atelomycterus marmoratus	Mesopredator
Selachii	Atelomycterus marnkalha	Mesopredator
Selachii	Aulohalaelurus kanakorum	Mesopredator
Selachii	Aulohalaelurus labiosus	Mesopredator
Selachii	Brachaelurus colcloughi	Macropredator
Selachii	Brachaelurus waddi	Mesopredator
Selachii	Bythaelurus alcockii	Mesopredator
Selachii	Bythaelurus canescens	Mesopredator
Selachii	Bythaelurus clevai	Invertebrate-feeders
Selachii	Bythaelurus dawsoni	Mesopredator
Selachii	Bythaelurus giddingsi	Mesopredator
Selachii	Bythaelurus hispidus	Mesopredator
Selachii	Bythaelurus immaculatus	Mesopredator
Selachii	Bythaelurus incanus	Mesopredator
Selachii	Bythaelurus lutarius	Mesopredator
Selachii	Carcharhinus acronotus	Mesopredator
Selachii	Carcharhinus albimarginatus	Mesopredator
Selachii	Carcharhinus altimus	Mesopredator
Selachii	Carcharhinus amblyrhynchoides	Mesopredator
Selachii	Carcharhinus amblyrhynchos	Mesopredator
Selachii	Carcharhinus amboinensis	Mesopredator
Selachii	Carcharhinus borneensis	Macropredator
Selachii	Carcharhinus brachyurus	Mesopredator
Selachii	Carcharhinus brevipinna	Mesopredator
